id,name,applicability
account_tag_SAFT_2330,"SAFT 2330",accounts
account_tag_SAFT_2340,"SAFT 2340",accounts
account_tag_SAFT_2350,"SAFT 2350",accounts
account_tag_SAFT_2470,"SAFT 2470",accounts
account_tag_SAFT_2480,"SAFT 2480",accounts
account_tag_SAFT_2490,"SAFT 2490",accounts
account_tag_SAFT_2500,"SAFT 2500",accounts
account_tag_SAFT_2501,"SAFT 2501",accounts
account_tag_SAFT_2502,"SAFT 2502",accounts
account_tag_SAFT_2504,"SAFT 2504",accounts
account_tag_SAFT_2505,"SAFT 2505",accounts
account_tag_SAFT_2506,"SAFT 2506",accounts
account_tag_SAFT_2507,"SAFT 2507",accounts
account_tag_SAFT_2509,"SAFT 2509",accounts
account_tag_SAFT_2510,"SAFT 2510",accounts
account_tag_SAFT_2511,"SAFT 2511",accounts
account_tag_SAFT_2512,"SAFT 2512",accounts
account_tag_SAFT_2513,"SAFT 2513",accounts
account_tag_SAFT_2515,"SAFT 2515",accounts
account_tag_SAFT_2517,"SAFT 2517",accounts
account_tag_SAFT_2518,"SAFT 2518",accounts
account_tag_SAFT_2519,"SAFT 2519",accounts
account_tag_SAFT_2520,"SAFT 2520",accounts
account_tag_SAFT_2530,"SAFT 2530",accounts
account_tag_SAFT_2531,"SAFT 2531",accounts
account_tag_SAFT_2532,"SAFT 2532",accounts
account_tag_SAFT_2533,"SAFT 2533",accounts
account_tag_SAFT_2534,"SAFT 2534",accounts
account_tag_SAFT_2535,"SAFT 2535",accounts
account_tag_SAFT_2536,"SAFT 2536",accounts
account_tag_SAFT_2537,"SAFT 2537",accounts
account_tag_SAFT_2538,"SAFT 2538",accounts
account_tag_SAFT_2540,"SAFT 2540",accounts
account_tag_SAFT_2541,"SAFT 2541",accounts
account_tag_SAFT_2542,"SAFT 2542",accounts
account_tag_SAFT_2543,"SAFT 2543",accounts
account_tag_SAFT_2560,"SAFT 2560",accounts
account_tag_SAFT_2565,"SAFT 2565",accounts
account_tag_SAFT_2570,"SAFT 2570",accounts
account_tag_SAFT_2573,"SAFT 2573",accounts
account_tag_SAFT_2575,"SAFT 2575",accounts
account_tag_SAFT_2577,"SAFT 2577",accounts
account_tag_SAFT_2580,"SAFT 2580",accounts
account_tag_SAFT_2582,"SAFT 2582",accounts
account_tag_SAFT_2584,"SAFT 2584",accounts
account_tag_SAFT_2586,"SAFT 2586",accounts
account_tag_SAFT_2590,"SAFT 2590",accounts
account_tag_SAFT_2600,"SAFT 2600",accounts
account_tag_SAFT_2601,"SAFT 2601",accounts
account_tag_SAFT_2602,"SAFT 2602",accounts
account_tag_SAFT_2610,"SAFT 2610",accounts
account_tag_SAFT_2612,"SAFT 2612",accounts
account_tag_SAFT_2620,"SAFT 2620",accounts
account_tag_SAFT_2630,"SAFT 2630",accounts
account_tag_SAFT_2680,"SAFT 2680",accounts
account_tag_SAFT_2690,"SAFT 2690",accounts
account_tag_SAFT_2700,"SAFT 2700",accounts
account_tag_SAFT_2730,"SAFT 2730",accounts
account_tag_SAFT_2740,"SAFT 2740",accounts
account_tag_SAFT_2750,"SAFT 2750",accounts
account_tag_SAFT_2780,"SAFT 2780",accounts
account_tag_SAFT_2790,"SAFT 2790",accounts
account_tag_SAFT_2800,"SAFT 2800",accounts
account_tag_SAFT_2880,"SAFT 2880",accounts
account_tag_SAFT_2885,"SAFT 2885",accounts
account_tag_SAFT_2890,"SAFT 2890",accounts
account_tag_SAFT_2900,"SAFT 2900",accounts
account_tag_SAFT_2940,"SAFT 2940",accounts
account_tag_SAFT_2950,"SAFT 2950",accounts
account_tag_SAFT_2960,"SAFT 2960",accounts
account_tag_SAFT_2970,"SAFT 2970",accounts
account_tag_SAFT_2980,"SAFT 2980",accounts
account_tag_SAFT_2990,"SAFT 2990",accounts
account_tag_SAFT_2999,"SAFT 2999",accounts
account_tag_SAFT_3000,"SAFT 3000",accounts
account_tag_SAFT_3010,"SAFT 3010",accounts
account_tag_SAFT_3020,"SAFT 3020",accounts
account_tag_SAFT_3030,"SAFT 3030",accounts
account_tag_SAFT_3035,"SAFT 3035",accounts
account_tag_SAFT_3040,"SAFT 3040",accounts
account_tag_SAFT_3041,"SAFT 3041",accounts
